"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/04/2026 16:42:36:583 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"241","6","18","150","109","55.36332179930796","0","0"
"243","6","18","150","104","58.861976163014226","0","0"
"246","6","18","175","130","56.901191849288736","0","0"
"244","6","18","175","137","53.28719723183391","0","0"
"248","6","18","200","105","52.63360246059208","0","0"
"230","6","16","175","660","32.21837754709727","0","0"
"212","6","14","150","1500","55.59400230680507","30","0"
"251","6","18","225","120","48.05843906189927","0","0"
"253","6","18","250","110","45.63629373317955","0","0"
"247","6","18","200","153","48.750480584390615","0","0"
"252","6","18","225","145","50.63437139561707","0","0"
"213","6","14","150","1500","15.916955017301039","33","0"
"214","6","14","175","1500","23.68319876970396","22","0"
"254","6","18","250","154","52.210688196847364","0","0"
"256","6","20","150","96","55.36332179930796","0","0"
"242","6","18","150","457","14.340638216070742","0","0"
"255","6","18","250","208","52.902729719338716","0","0"
"260","6","20","175","117","49.058054594386775","0","0"
"262","6","20","200","101","45.32871972318339","0","0"
"249","6","18","200","429","23.952326028450596","0","0"
"264","6","20","200","83","47.789311803152636","0","0"
"250","6","18","225","450","18.108419838523645","0","0"
"265","6","20","225","107","47.558631295655516","0","0"
"266","6","20","225","116","48.212226066897344","0","0"
"267","6","20","225","92","44.71357170319108","0","0"
"268","6","20","250","83","39.13879277201077","0","0"
"257","6","20","150","284","11.649365628604382","0","0"
"259","6","20","175","331","12.187620146097654","0","0"
"270","6","20","250","103","45.36716647443291","0","0"
"269","6","20","250","143","49.134948096885815","0","0"
"261","6","20","175","381","25.52864282968089","0","0"
"258","6","20","150","494","9.727028066128412","0","0"
"263","6","20","200","835","10.226835832372165","0","0"
"280","8","4","225","218","69.01191849288735","0","0"
"245","6","18","175","1500","15.840061514801999","43","0"
"271","8","4","150","1500","63.05267204921184","29","0"
"275","8","4","175","1500","77.4317570165321","8","0"
"283","8","4","250","198","55.59400230680507","0","0"
"278","8","4","200","1500","63.32179930795848","30","0"
"273","8","4","150","1500","44.982698961937714","35","0"
"274","8","4","175","1500","50.01922337562476","21","0"
"272","8","4","150","1500","55.094194540561325","18","0"
"277","8","4","200","1500","52.825836216839676","23","0"
"276","8","4","175","1500","44.559784698193006","41","0"
"288","8","6","150","149","66.32064590542099","0","0"
"279","8","4","200","1500","50.82660515186467","25","0"
"282","8","4","225","1033","40.023068050749714","0","0"
"281","8","4","225","1500","56.24759707804691","21","0"
"292","8","6","200","865","30.98808150711265","0","0"
"284","8","4","250","1500","62.86043829296425","34","0"
"297","8","6","225","98","49.134948096885815","0","0"
"294","8","6","200","976","85.77470203767781","0","0"
"299","8","6","250","147","59.28489042675894","0","0"
"300","8","6","250","135","47.40484429065744","0","0"
"287","8","6","150","1500","48.981161091887735","59","0"
"285","8","4","250","1500","46.28988850442138","12","0"
"290","8","6","175","1500","61.9761630142253","25","0"
"286","8","6","150","1500","61.43790849673203","38","0"
"289","8","6","175","1500","50.67281814686659","30","0"
"291","8","6","175","1500","49.826989619377166","21","0"
"293","8","6","200","1500","51.63398692810458","15","0"
"307","8","8","200","82","48.750480584390615","0","0"
"303","8","8","150","321","32.487504805843905","0","0"
"310","8","8","225","446","31.680123029603998","0","0"
"296","8","6","225","1500","28.565936178392924","27","0"
"311","8","8","225","558","34.2560553633218","0","0"
"312","8","8","225","111","45.98231449442522","0","0"
"313","8","8","250","96","41.63783160322953","0","0"
"306","8","8","175","795","41.29181084198385","0","0"
"314","8","8","250","182","56.86274509803921","0","0"
"309","8","8","200","841","29.950019223375623","0","0"
"317","8","10","150","100","60.51518646674356","0","0"
"304","8","8","175","1161","52.672049211841596","0","0"
"319","8","10","175","82","50.173010380622834","0","0"
"298","8","6","250","1500","41.86851211072664","25","0"
"295","8","6","225","1500","48.94271434063822","45","0"
"323","8","10","200","210","76.08612072279892","0","0"
"308","8","8","200","1210","50.0961168781238","0","0"
"301","8","8","150","1500","65.66705113417916","28","0"
"326","8","10","225","102","47.558631295655516","0","0"
"305","8","8","175","1500","34.0638216070742","22","0"
"324","8","10","200","136","52.24913494809689","0","0"
"302","8","8","150","1500","29.45021145713187","41","0"
"327","8","10","225","134","54.36370626682045","0","0"
"322","8","10","200","439","13.956170703575548","0","0"
"321","8","10","175","470","87.5432525951557","0","0"
"330","8","10","250","133","47.82775855440215","0","0"
"320","8","10","175","672","40.253748558246826","0","0"
"334","8","12","175","177","73.01038062283737","0","0"
"325","8","10","225","467","20.991926182237602","0","0"
"337","8","12","200","128","56.516724336793544","0","0"
"336","8","12","175","172","70.16532103037294","0","0"
"338","8","12","200","156","62.43752402921953","0","0"
"340","8","12","225","102","47.327950788158404","0","0"
"341","8","12","225","76","43.52172241445598","0","0"
"339","8","12","200","162","55.13264129181084","0","0"
"343","8","12","250","150","55.36332179930796","0","0"
"344","8","12","250","78","41.02268358323722","0","0"
"315","8","8","250","1500","79.96924259900038","14","0"
"342","8","12","225","178","53.90234525182622","0","0"
"335","8","12","175","420","46.44367550941946","0","0"
"345","8","12","250","129","45.059592464436754","0","0"
"329","8","10","250","931","17.339484813533257","0","0"
"316","8","10","150","1500","18.223760092272205","21","0"
"318","8","10","150","1500","49.78854286812764","58","0"
"349","8","14","175","86","43.40638216070742","0","0"
"351","8","14","175","98","54.90196078431372","0","0"
"352","8","14","200","142","52.479815455594","0","0"
"346","8","14","150","309","18.569780853517877","0","0"
"354","8","14","200","108","47.36639753940792","0","0"
"357","8","14","225","107","50.941945405613225","0","0"
"356","8","14","225","100","49.63475586312956","0","0"
"353","8","14","200","243","77.35486351403307","0","0"
"350","8","14","175","413","56.70895809304114","0","0"
"360","8","14","250","95","49.25028835063437","0","0"
