"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/04/2026 16:58:20:249 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"318","8","10","150","989","65.47481737793156","0","0"
"317","8","10","150","1037","46.71280276816609","0","0"
"333","8","12","150","100","61.24567474048443","0","0"
"335","8","12","175","100","49.48096885813149","0","0"
"301","8","8","150","1500","49.134948096885815","38","0"
"307","8","8","200","1500","35.217224144559786","20","0"
"328","8","10","250","528","43.40638216070742","0","0"
"339","8","12","200","75","46.98193002691273","0","0"
"340","8","12","225","119","47.94309880815071","0","0"
"341","8","12","225","88","45.597846981930026","0","0"
"336","8","12","175","400","20.569011918492887","0","0"
"342","8","12","225","102","50.48058439061899","0","0"
"343","8","12","250","88","43.13725490196079","0","0"
"337","8","12","200","385","12.033833141099578","0","0"
"319","8","10","175","1500","28.604382929642444","6","0"
"320","8","10","175","1500","49.058054594386775","63","0"
"347","8","14","150","105","56.70895809304114","0","0"
"344","8","12","250","232","63.39869281045752","0","0"
"349","8","14","175","102","51.095732410611305","0","0"
"351","8","14","175","96","51.018838908112265","0","0"
"352","8","14","200","86","47.75086505190311","0","0"
"324","8","10","200","1500","47.75086505190311","25","0"
"354","8","14","200","85","45.520953479430986","0","0"
"355","8","14","225","117","49.94232987312572","0","0"
"356","8","14","225","104","48.36601307189542","0","0"
"357","8","14","225","86","45.86697424067666","0","0"
"327","8","10","225","1500","21.14571318723568","10","0"
"353","8","14","200","354","27.989234909650136","0","0"
"358","8","14","250","102","43.44482891195694","0","0"
"359","8","14","250","88","41.676278354479045","0","0"
"360","8","14","250","148","47.98154555940023","0","0"
"362","8","16","150","109","56.824298346789696","0","0"
"331","8","12","150","1500","29.52710495963091","39","0"
"365","8","16","175","76","44.59823144944252","0","0"
"334","8","12","175","1500","20.184544405997695","14","0"
"332","8","12","150","1500","26.028450595924646","47","0"
"367","8","16","200","115","49.17339484813533","0","0"
"363","8","16","150","324","15.993848519800077","0","0"
"368","8","16","200","98","50.05767012687428","0","0"
"371","8","16","225","71","43.52172241445598","0","0"
"369","8","16","200","89","44.905805459438675","0","0"
"370","8","16","225","100","42.09919261822376","0","0"
"364","8","16","175","350","20.645905420991927","0","0"
"348","8","14","150","1055","18.185313341022685","0","0"
"366","8","16","175","327","21.953094963475586","0","0"
"375","8","16","250","90","44.71357170319108","0","0"
"373","8","16","250","114","46.05920799692426","0","0"
"345","8","12","250","1292","30.44982698961938","0","0"
"374","8","16","250","162","54.171472510572855","0","0"
"380","8","18","175","86","50.98039215686274","0","0"
"379","8","18","175","130","56.78585159554018","0","0"
"382","8","18","200","131","53.09496347558631","0","0"
"338","8","12","200","1327","16.647443291041906","0","0"
"378","8","18","150","280","13.264129181084199","0","0"
"383","8","18","200","113","49.7116493656286","0","0"
"372","8","16","225","434","7.88158400615148","0","0"
"377","8","18","150","312","8.342945021145713","0","0"
"346","8","14","150","1500","59.361783929257975","31","0"
"384","8","18","200","121","51.44175317185698","0","0"
"381","8","18","175","315","16.724336793540946","0","0"
"350","8","14","175","1500","41.753171856978085","4","0"
"386","8","18","225","89","41.94540561322568","0","0"
"389","8","18","250","105","48.7120338331411","0","0"
"390","8","18","250","83","45.09803921568628","0","0"
"385","8","18","225","157","47.75086505190311","0","0"
"392","8","20","150","104","54.51749327181853","0","0"
"388","8","18","250","157","52.479815455594","0","0"
"397","8","20","200","85","43.59861591695502","0","0"
"398","8","20","200","78","48.94271434063822","0","0"
"394","8","20","175","110","46.943483275663205","0","0"
"400","8","20","225","114","44.82891195693964","0","0"
"403","8","20","250","71","38.292964244521336","0","0"
"401","8","20","225","82","41.09957708573626","0","0"
"399","8","20","200","163","55.28642829680892","0","0"
"387","8","18","225","395","9.95770857362553","0","0"
"402","8","20","225","100","42.1760861207228","0","0"
"391","8","20","150","364","12.53364090734333","0","0"
"404","8","20","250","88","41.983852364475204","0","0"
"393","8","20","150","317","18.915801614763552","0","0"
"411","10","4","175","134","68.08919646289888","0","0"
"395","8","20","175","342","9.304113802383698","0","0"
"405","8","20","250","382","12.187620146097654","0","0"
"361","8","16","150","1500","40.71510957324106","30","0"
"376","8","18","150","1032","30.44982698961938","0","0"
"416","10","4","225","126","53.59477124183007","0","0"
"396","8","20","175","742","11.764705882352942","0","0"
"417","10","4","225","193","68.78123798539023","0","0"
"419","10","4","250","102","48.289119569396384","0","0"
"418","10","4","250","806","34.10226835832372","0","0"
"407","10","4","150","1500","63.55247981545559","42","0"
"408","10","4","150","1500","46.40522875816993","47","0"
"410","10","4","175","1500","43.3679354094579","69","0"
"409","10","4","175","1500","41.753171856978085","19","0"
"406","10","4","150","1500","44.7520184544406","32","0"
"412","10","4","200","1500","37.06266820453671","19","0"
"426","10","6","175","84","57.054978854286816","0","0"
"413","10","4","200","1500","65.7439446366782","30","0"
"427","10","6","200","191","62.745098039215684","0","0"
"430","10","6","225","155","53.97923875432526","0","0"
"415","10","4","225","1448","49.750096116878126","0","0"
"433","10","6","250","212","62.82199154171472","0","0"
"414","10","4","200","1500","59.13110342176086","21","0"
"420","10","4","250","1500","57.36255286428297","12","0"
"421","10","6","150","1500","35.8323721645521","57","0"
"432","10","6","225","571","47.90465205690119","0","0"
"431","10","6","225","850","30.718954248366014","0","0"
"422","10","6","150","1500","88.42752787389466","3","0"
"424","10","6","175","1500","46.02076124567474","29","0"
"423","10","6","150","1500","46.98193002691273","42","0"
"425","10","6","175","1500","51.172625913110345","10","0"
"429","10","6","200","1500","50.403690888119954","24","0"
"428","10","6","200","1500","43.713956170703575","5","0"
"439","10","8","175","480","57.36255286428297","0","0"
"445","10","8","225","104","45.17493271818531","0","0"
"440","10","8","175","474","64.5520953479431","0","0"
"447","10","8","225","177","58.2083813917724","0","0"
"446","10","8","225","209","66.43598615916954","0","0"
"434","10","6","250","1227","32.06459054209919","0","0"
"443","10","8","200","420","29.757785467128027","0","0"
"450","10","8","250","89","49.55786236063053","0","0"
"449","10","8","250","145","48.09688581314879","0","0"
"451","10","10","150","178","82.27604767397155","0","0"
"435","10","6","250","1031","29.834678969627067","0","0"
"454","10","10","175","210","79.27720107650903","0","0"
"456","10","10","175","95","51.67243367935409","0","0"
"442","10","8","200","872","22.914263744713573","0","0"
"437","10","8","150","1500","43.867743175701655","24","0"
"436","10","8","150","1500","39.98462129950019","25","0"
"457","10","10","200","100","53.09496347558631","0","0"
"460","10","10","225","83","44.52133794694348","0","0"
"444","10","8","200","910","32.6797385620915","0","0"
"461","10","10","225","93","47.789311803152636","0","0"
"438","10","8","150","1500","33.37178008458285","63","0"
"463","10","10","250","124","49.98077662437524","0","0"
"464","10","10","250","156","58.36216839677047","0","0"
"459","10","10","200","401","26.643598615916954","0","0"
"468","10","12","150","160","74.20222991157247","0","0"
"455","10","10","175","705","74.54825067281814","0","0"
"441","10","8","175","1500","54.479046520569014","5","0"
"465","10","10","250","424","14.840445982314494","0","0"
"471","10","12","175","86","46.67435601691657","0","0"
"462","10","10","225","608","52.825836216839676","0","0"
"472","10","12","200","104","49.44252210688197","0","0"
"475","10","12","225","108","46.1361014994233","0","0"
"466","10","12","150","600","26.874279123414073","0","0"
"470","10","12","175","372","14.686658977316418","0","0"
"448","10","8","250","1500","42.13763936947328","21","0"
"476","10","12","225","280","88.92733564013841","0","0"
"479","10","12","250","93","39.48481353325644","0","0"
"473","10","12","200","415","21.914648212226066","0","0"
"478","10","12","250","195","56.978085351787776","0","0"
"474","10","12","200","426","13.648596693579393","0","0"
"480","10","12","250","129","51.13417916186082","0","0"
"452","10","10","150","1500","72.01076509034986","29","0"
"486","10","14","175","92","46.251441753171854","0","0"
"484","10","14","175","112","50.36524413687044","0","0"
"453","10","10","150","1500","46.75124951941561","21","0"
"477","10","12","225","533","34.678969627066515","0","0"
"489","10","14","200","179","63.283352556708955","0","0"
"485","10","14","175","321","11.18800461361015","0","0"
"490","10","14","225","98","44.905805459438675","0","0"
"491","10","14","225","100","49.40407535563245","0","0"
"493","10","14","250","77","36.21683967704729","0","0"
"492","10","14","225","143","45.828527489427145","0","0"
"494","10","14","250","145","53.24875048058439","0","0"
"458","10","10","200","1196","18.608227604767396","0","0"
"483","10","14","150","533","17.76239907727797","0","0"
"495","10","14","250","205","61.783929257977704","0","0"
"498","10","16","150","114","50.05767012687428","0","0"
"467","10","12","150","1500","39.21568627450981","81","0"
"501","10","16","175","100","46.09765474817378","0","0"
"481","10","14","150","812","20.069204152249135","0","0"
"502","10","16","200","89","52.63360246059208","0","0"
"496","10","16","150","303","32.410611303344865","0","0"
"487","10","14","200","647","13.533256439830835","0","0"
"497","10","16","150","296","18.4159938485198","0","0"
"469","10","12","175","1386","22.722029988465973","0","0"
"504","10","16","200","96","46.32833525567089","0","0"
"503","10","16","200","151","51.018838908112265","0","0"
"507","10","16","225","85","40.86889657823914","0","0"
"506","10","16","225","103","43.713956170703575","0","0"
"500","10","16","175","336","11.956939638600538","0","0"
"509","10","16","250","94","45.828527489427145","0","0"
"510","10","16","250","120","44.67512495194156","0","0"
"508","10","16","250","138","46.52056901191849","0","0"
"514","10","18","175","85","49.211841599384854","0","0"
"499","10","16","175","347","16.685890042291426","0","0"
"515","10","18","175","118","56.132256824298345","0","0"
"513","10","18","150","148","68.1276432141484","0","0"
"482","10","14","150","996","15.916955017301039","0","0"
"516","10","18","175","151","64.01384083044982","0","0"
"518","10","18","200","83","44.05997693194925","0","0"
"519","10","18","200","102","47.44329104190696","0","0"
"505","10","16","225","393","16.916570549788542","0","0"
"523","10","18","250","80","42.98346789696271","0","0"
